"k","signal_mode","beta","method","weighted_power","n_nonmissing","total_weight"
2,"abundance",0.5,"unifrac_unweighted",0.0556295642214724,200,142.008250830433
2,"abundance",0.5,"unifrac_weighted_phyloseq",0.829820124508151,200,142.008250830433
2,"abundance",0.55,"GLaD_0.5_unweighted",0.0447301867622262,200,142.008250830433
2,"abundance",0.55,"GLaD_0.5_weighted",0.849640249016302,200,142.008250830433
2,"abundance",0.55,"GLaD_1_unweighted",0.04,200,142.008250830433
2,"abundance",0.55,"GLaD_1_weighted",0.869460373524453,200,142.008250830433
2,"abundance",0.55,"GUniFrac",0.929640249016302,200,142.008250830433
2,"abundance",0.55,"aitchison",0.124910062254075,200,142.008250830433
2,"abundance",0.55,"bray",0.599640249016302,200,142.008250830433
2,"abundance",0.55,"euclidean",0.225089937745925,200,142.008250830433
2,"abundance",0.55,"jaccard",0.564550311270377,200,142.008250830433
2,"abundance",0.55,"unifrac_unweighted",0.0298201245081508,200,142.008250830433
2,"abundance",0.55,"unifrac_weighted_phyloseq",0.914730186762227,200,142.008250830433
2,"abundance",0.6,"GLaD_0.5_unweighted",0.0698201245081509,200,142.008250830433
2,"abundance",0.6,"GLaD_0.5_weighted",0.935809439713322,200,142.008250830433
2,"abundance",0.6,"GLaD_1_unweighted",0.0550899377459247,200,142.008250830433
2,"abundance",0.6,"GLaD_1_weighted",0.960359750983699,200,142.008250830433
2,"abundance",0.6,"GUniFrac",0.984910062254076,200,142.008250830433
2,"abundance",0.6,"aitchison",0.175089937745925,200,142.008250830433
2,"abundance",0.6,"bray",0.690359750983699,200,142.008250830433
2,"abundance",0.6,"euclidean",0.315629564221472,200,142.008250830433
2,"abundance",0.6,"jaccard",0.680359750983699,200,142.008250830433
2,"abundance",0.6,"unifrac_unweighted",0.0600000000000001,200,142.008250830433
2,"abundance",0.6,"unifrac_weighted_phyloseq",0.965269813237774,200,142.008250830433
2,"abundance",0.65,"GLaD_0.5_unweighted",0.0447301867622262,200,142.008250830433
2,"abundance",0.65,"GLaD_0.5_weighted",0.935089937745925,200,142.008250830433
2,"abundance",0.65,"GLaD_1_unweighted",0.0701798754918493,200,142.008250830433
2,"abundance",0.65,"GLaD_1_weighted",0.94017987549185,200,142.008250830433
2,"abundance",0.65,"GUniFrac",0.964730186762226,200,142.008250830433
2,"abundance",0.65,"aitchison",0.194910062254076,200,142.008250830433
2,"abundance",0.65,"bray",0.728920747048905,200,142.008250830433
2,"abundance",0.65,"euclidean",0.399460373524452,200,142.008250830433
2,"abundance",0.65,"jaccard",0.729280498032603,200,142.008250830433
2,"abundance",0.65,"unifrac_unweighted",0.0594603735244524,200,142.008250830433
2,"abundance",0.65,"unifrac_weighted_phyloseq",0.97,200,142.008250830433
2,"abundance",0.7,"GLaD_0.5_unweighted",0.0849100622540755,200,142.008250830433
2,"abundance",0.7,"GLaD_0.5_weighted",0.969460373524453,200,142.008250830433
2,"abundance",0.7,"GLaD_1_unweighted",0.0350899377459247,200,142.008250830433
2,"abundance",0.7,"GLaD_1_weighted",0.979820124508151,200,142.008250830433
2,"abundance",0.7,"GUniFrac",1,200,142.008250830433
2,"abundance",0.7,"aitchison",0.219820124508151,200,142.008250830433
2,"abundance",0.7,"bray",0.839820124508151,200,142.008250830433
2,"abundance",0.7,"euclidean",0.374190560286678,200,142.008250830433
2,"abundance",0.7,"jaccard",0.819460373524453,200,142.008250830433
2,"abundance",0.7,"unifrac_unweighted",0.0549100622540754,200,142.008250830433
2,"abundance",0.7,"unifrac_weighted_phyloseq",0.989820124508151,200,142.008250830433
2,"abundance",0.75,"GLaD_0.5_unweighted",0.0905396264755478,200,142.008250830433
2,"abundance",0.75,"GLaD_0.5_weighted",0.985089937745925,200,142.008250830433
2,"abundance",0.75,"GLaD_1_unweighted",0.0352698132377739,200,142.008250830433
2,"abundance",0.75,"GLaD_1_weighted",0.985089937745925,200,142.008250830433
2,"abundance",0.75,"GUniFrac",0.994910062254075,200,142.008250830433
2,"abundance",0.75,"aitchison",0.245269813237774,200,142.008250830433
2,"abundance",0.75,"bray",0.914550311270378,200,142.008250830433
2,"abundance",0.75,"euclidean",0.460179875491849,200,142.008250830433
2,"abundance",0.75,"jaccard",0.904370435778528,200,142.008250830433
2,"abundance",0.75,"unifrac_unweighted",0.0452698132377739,200,142.008250830433
2,"abundance",0.75,"unifrac_weighted_phyloseq",0.994910062254075,200,142.008250830433
2,"abundance",0.8,"GLaD_0.5_unweighted",0.054550311270377,200,142.008250830433
2,"abundance",0.8,"GLaD_0.5_weighted",1,200,142.008250830433
2,"abundance",0.8,"GLaD_1_unweighted",0.0452698132377739,200,142.008250830433
2,"abundance",0.8,"GLaD_1_weighted",0.995089937745925,200,142.008250830433
2,"abundance",0.8,"GUniFrac",1,200,142.008250830433
2,"abundance",0.8,"aitchison",0.294550311270377,200,142.008250830433
2,"abundance",0.8,"bray",0.954550311270377,200,142.008250830433
2,"abundance",0.8,"euclidean",0.568920747048905,200,142.008250830433
2,"abundance",0.8,"jaccard",0.939640249016302,200,142.008250830433
2,"abundance",0.8,"unifrac_unweighted",0.0640106847948293,200,142.008250830433
2,"abundance",0.8,"unifrac_weighted_phyloseq",1,200,142.008250830433
2,"abundance",0.85,"GLaD_0.5_unweighted",0.044550311270377,200,142.008250830433
2,"abundance",0.85,"GLaD_0.5_weighted",1,200,142.008250830433
2,"abundance",0.85,"GLaD_1_unweighted",0.0443704357785277,200,142.008250830433
2,"abundance",0.85,"GLaD_1_weighted",1,200,142.008250830433
2,"abundance",0.85,"GUniFrac",1,200,142.008250830433
2,"abundance",0.85,"aitchison",0.328201245081508,200,142.008250830433
2,"abundance",0.85,"bray",0.969820124508151,200,142.008250830433
2,"abundance",0.85,"euclidean",0.634010684794829,200,142.008250830433
2,"abundance",0.85,"jaccard",0.969820124508151,200,142.008250830433
2,"abundance",0.85,"unifrac_unweighted",0.0447301867622262,200,142.008250830433
2,"abundance",0.85,"unifrac_weighted_phyloseq",1,200,142.008250830433
2,"abundance",0.9,"GLaD_0.5_unweighted",0.03,200,142.008250830433
2,"abundance",0.9,"GLaD_0.5_weighted",1,200,142.008250830433
2,"abundance",0.9,"GLaD_1_unweighted",0.0249100622540754,200,142.008250830433
2,"abundance",0.9,"GLaD_1_weighted",0.995089937745925,200,142.008250830433
2,"abundance",0.9,"GUniFrac",1,200,142.008250830433
2,"abundance",0.9,"aitchison",0.349460373524452,200,142.008250830433
2,"abundance",0.9,"bray",0.995089937745925,200,142.008250830433
2,"abundance",0.9,"euclidean",0.690359750983699,200,142.008250830433
2,"abundance",0.9,"jaccard",0.995089937745925,200,142.008250830433
2,"abundance",0.9,"unifrac_unweighted",0,200,142.008250830433
2,"abundance",0.9,"unifrac_weighted_phyloseq",1,200,142.008250830433
2,"abundance",0.95,"GLaD_0.5_unweighted",0.0250899377459246,200,142.008250830433
2,"abundance",0.95,"GLaD_0.5_weighted",1,200,142.008250830433
2,"abundance",0.95,"GLaD_1_unweighted",0.0349100622540754,200,142.008250830433
2,"abundance",0.95,"GLaD_1_weighted",1,200,142.008250830433
2,"abundance",0.95,"GUniFrac",1,200,142.008250830433
2,"abundance",0.95,"aitchison",0.409820124508151,200,142.008250830433
2,"abundance",0.95,"bray",1,200,142.008250830433
2,"abundance",0.95,"euclidean",0.75,200,142.008250830433
2,"abundance",0.95,"jaccard",1,200,142.008250830433
2,"abundance",0.95,"unifrac_unweighted",0.0450899377459247,200,142.008250830433
2,"abundance",0.95,"unifrac_weighted_phyloseq",1,200,142.008250830433
2,"abundance",1,"GLaD_0.5_unweighted",0.0547301867622262,200,142.008250830433
2,"abundance",1,"GLaD_0.5_weighted",1,200,142.008250830433
2,"abundance",1,"GLaD_1_unweighted",0.0549100622540754,200,142.008250830433
2,"abundance",1,"GLaD_1_weighted",1,200,142.008250830433
2,"abundance",1,"GUniFrac",1,200,142.008250830433
2,"abundance",1,"aitchison",0.444010684794829,200,142.008250830433
2,"abundance",1,"bray",1,200,142.008250830433
2,"abundance",1,"euclidean",0.78017987549185,200,142.008250830433
2,"abundance",1,"jaccard",1,200,142.008250830433
2,"abundance",1,"unifrac_unweighted",0.0647301867622262,200,142.008250830433
2,"abundance",1,"unifrac_weighted_phyloseq",1,200,142.008250830433
2,"both",0.05,"GLaD_0.5_unweighted",0.0910792529510955,200,142.008250830433
2,"both",0.05,"GLaD_0.5_weighted",0.0449100622540754,200,142.008250830433
2,"both",0.05,"GLaD_1_unweighted",0.0900000000000001,200,142.008250830433
2,"both",0.05,"GLaD_1_weighted",0.0447301867622262,200,142.008250830433
2,"both",0.05,"GUniFrac",0.04,200,142.008250830433
2,"both",0.05,"aitchison",0.0503597509836985,200,142.008250830433
2,"both",0.05,"bray",0.0601798754918493,200,142.008250830433
2,"both",0.05,"euclidean",0.0600000000000001,200,142.008250830433
2,"both",0.05,"jaccard",0.0601798754918493,200,142.008250830433
2,"both",0.05,"unifrac_unweighted",0.0554496887296231,200,142.008250830433
2,"both",0.05,"unifrac_weighted_phyloseq",0.0298201245081508,200,142.008250830433
2,"both",0.1,"GLaD_0.5_unweighted",0.0805396264755478,200,142.008250830433
2,"both",0.1,"GLaD_0.5_weighted",0.104550311270377,200,142.008250830433
2,"both",0.1,"GLaD_1_unweighted",0.164910062254076,200,142.008250830433
2,"both",0.1,"GLaD_1_weighted",0.074550311270377,200,142.008250830433
2,"both",0.1,"GUniFrac",0.0892804980326031,200,142.008250830433
2,"both",0.1,"aitchison",0.110179875491849,200,142.008250830433
2,"both",0.1,"bray",0.0801798754918493,200,142.008250830433
2,"both",0.1,"euclidean",0.0949100622540755,200,142.008250830433
2,"both",0.1,"jaccard",0.0701798754918493,200,142.008250830433
2,"both",0.1,"unifrac_unweighted",0.105089937745925,200,142.008250830433
2,"both",0.1,"unifrac_weighted_phyloseq",0.104370435778528,200,142.008250830433
2,"both",0.15,"GLaD_0.5_unweighted",0.129640249016302,200,142.008250830433
2,"both",0.15,"GLaD_0.5_weighted",0.149280498032603,200,142.008250830433
2,"both",0.15,"GLaD_1_unweighted",0.269280498032603,200,142.008250830433
2,"both",0.15,"GLaD_1_weighted",0.144910062254076,200,142.008250830433
2,"both",0.15,"GUniFrac",0.204910062254076,200,142.008250830433
2,"both",0.15,"aitchison",0.0998201245081509,200,142.008250830433
2,"both",0.15,"bray",0.0952698132377739,200,142.008250830433
2,"both",0.15,"euclidean",0.0596402490163016,200,142.008250830433
2,"both",0.15,"jaccard",0.100179875491849,200,142.008250830433
2,"both",0.15,"unifrac_unweighted",0.155269813237774,200,142.008250830433
2,"both",0.15,"unifrac_weighted_phyloseq",0.134730186762226,200,142.008250830433
2,"both",0.2,"GLaD_0.5_unweighted",0.361079252951095,200,142.008250830433
2,"both",0.2,"GLaD_0.5_weighted",0.280359750983699,200,142.008250830433
2,"both",0.2,"GLaD_1_unweighted",0.49383080930298,200,142.008250830433
2,"both",0.2,"GLaD_1_weighted",0.305629564221472,200,142.008250830433
2,"both",0.2,"GUniFrac",0.345629564221472,200,142.008250830433
2,"both",0.2,"aitchison",0.270359750983699,200,142.008250830433
2,"both",0.2,"bray",0.130359750983699,200,142.008250830433
2,"both",0.2,"euclidean",0.0900000000000001,200,142.008250830433
2,"both",0.2,"jaccard",0.120179875491849,200,142.008250830433
2,"both",0.2,"unifrac_unweighted",0.25017987549185,200,142.008250830433
2,"both",0.2,"unifrac_weighted_phyloseq",0.315629564221472,200,142.008250830433
2,"both",0.25,"GLaD_0.5_unweighted",0.444730186762226,200,142.008250830433
2,"both",0.25,"GLaD_0.5_weighted",0.409640249016301,200,142.008250830433
2,"both",0.25,"GLaD_1_unweighted",0.688560996065207,200,142.008250830433
2,"both",0.25,"GLaD_1_weighted",0.399460373524452,200,142.008250830433
2,"both",0.25,"GUniFrac",0.544550311270377,200,142.008250830433
2,"both",0.25,"aitchison",0.289640249016302,200,142.008250830433
2,"both",0.25,"bray",0.17017987549185,200,142.008250830433
2,"both",0.25,"euclidean",0.105449688729623,200,142.008250830433
2,"both",0.25,"jaccard",0.174910062254076,200,142.008250830433
2,"both",0.25,"unifrac_unweighted",0.344370435778528,200,142.008250830433
2,"both",0.25,"unifrac_weighted_phyloseq",0.465449688729623,200,142.008250830433
2,"both",0.3,"GLaD_0.5_unweighted",0.70401068479483,200,142.008250830433
2,"both",0.3,"GLaD_0.5_weighted",0.524730186762226,200,142.008250830433
2,"both",0.3,"GLaD_1_unweighted",0.853471058319282,200,142.008250830433
2,"both",0.3,"GLaD_1_weighted",0.530179875491849,200,142.008250830433
2,"both",0.3,"GUniFrac",0.713291182827433,200,142.008250830433
2,"both",0.3,"aitchison",0.489820124508151,200,142.008250830433
2,"both",0.3,"bray",0.32,200,142.008250830433
2,"both",0.3,"euclidean",0.125269813237774,200,142.008250830433
2,"both",0.3,"jaccard",0.27,200,142.008250830433
2,"both",0.3,"unifrac_unweighted",0.614370435778528,200,142.008250830433
2,"both",0.3,"unifrac_weighted_phyloseq",0.619820124508151,200,142.008250830433
2,"both",0.35,"GLaD_0.5_unweighted",0.914370435778528,200,142.008250830433
2,"both",0.35,"GLaD_0.5_weighted",0.599460373524452,200,142.008250830433
2,"both",0.35,"GLaD_1_unweighted",0.944370435778528,200,142.008250830433
2,"both",0.35,"GLaD_1_weighted",0.629460373524452,200,142.008250830433
2,"both",0.35,"GUniFrac",0.854190560286679,200,142.008250830433
2,"both",0.35,"aitchison",0.724730186762227,200,142.008250830433
2,"both",0.35,"bray",0.339640249016302,200,142.008250830433
2,"both",0.35,"euclidean",0.109460373524452,200,142.008250830433
2,"both",0.35,"jaccard",0.339640249016302,200,142.008250830433
2,"both",0.35,"unifrac_unweighted",0.769100622540754,200,142.008250830433
2,"both",0.35,"unifrac_weighted_phyloseq",0.694550311270377,200,142.008250830433
2,"both",0.4,"GLaD_0.5_unweighted",0.984910062254076,200,142.008250830433
2,"both",0.4,"GLaD_0.5_weighted",0.779820124508151,200,142.008250830433
2,"both",0.4,"GLaD_1_unweighted",0.974730186762226,200,142.008250830433
2,"both",0.4,"GLaD_1_weighted",0.78,200,142.008250830433
2,"both",0.4,"GUniFrac",0.964550311270377,200,142.008250830433
2,"both",0.4,"aitchison",0.854370435778528,200,142.008250830433
2,"both",0.4,"bray",0.524010684794829,200,142.008250830433
2,"both",0.4,"euclidean",0.195089937745925,200,142.008250830433
2,"both",0.4,"jaccard",0.479460373524452,200,142.008250830433
2,"both",0.4,"unifrac_unweighted",0.92401068479483,200,142.008250830433
2,"both",0.4,"unifrac_weighted_phyloseq",0.874730186762227,200,142.008250830433
2,"both",0.45,"GLaD_0.5_unweighted",0.995089937745925,200,142.008250830433
2,"both",0.45,"GLaD_0.5_weighted",0.870000000000001,200,142.008250830433
2,"both",0.45,"GLaD_1_unweighted",1,200,142.008250830433
2,"both",0.45,"GLaD_1_weighted",0.89017987549185,200,142.008250830433
2,"both",0.45,"GUniFrac",0.989820124508151,200,142.008250830433
2,"both",0.45,"aitchison",0.975269813237774,200,142.008250830433
2,"both",0.45,"bray",0.634370435778528,200,142.008250830433
2,"both",0.45,"euclidean",0.219460373524453,200,142.008250830433
2,"both",0.45,"jaccard",0.629280498032603,200,142.008250830433
2,"both",0.45,"unifrac_unweighted",0.984910062254076,200,142.008250830433
2,"both",0.45,"unifrac_weighted_phyloseq",0.944730186762227,200,142.008250830433
2,"both",0.5,"GLaD_0.5_unweighted",1,200,142.008250830433
2,"both",0.5,"GLaD_0.5_weighted",0.975089937745925,200,142.008250830433
2,"both",0.5,"GLaD_1_unweighted",0.994910062254075,200,142.008250830433
2,"both",0.5,"GLaD_1_weighted",0.965449688729623,200,142.008250830433
2,"both",0.5,"GUniFrac",1,200,142.008250830433
2,"both",0.5,"aitchison",0.995089937745925,200,142.008250830433
2,"both",0.5,"bray",0.809100622540754,200,142.008250830433
2,"both",0.5,"euclidean",0.3,200,142.008250830433
2,"both",0.5,"jaccard",0.779460373524453,200,142.008250830433
2,"both",0.5,"unifrac_unweighted",1,200,142.008250830433
2,"both",0.5,"unifrac_weighted_phyloseq",0.99,200,142.008250830433
2,"both",0.55,"GLaD_0.5_unweighted",1,200,142.008250830433
2,"both",0.55,"GLaD_0.5_weighted",0.969820124508151,200,142.008250830433
2,"both",0.55,"GLaD_1_unweighted",1,200,142.008250830433
2,"both",0.55,"GLaD_1_weighted",0.969820124508151,200,142.008250830433
2,"both",0.55,"GUniFrac",1,200,142.008250830433
2,"both",0.55,"aitchison",1,200,142.008250830433
2,"both",0.55,"bray",0.908920747048905,200,142.008250830433
2,"both",0.55,"euclidean",0.354550311270377,200,142.008250830433
2,"both",0.55,"jaccard",0.898920747048905,200,142.008250830433
2,"both",0.55,"unifrac_unweighted",1,200,142.008250830433
2,"both",0.55,"unifrac_weighted_phyloseq",0.994910062254075,200,142.008250830433
2,"both",0.6,"GLaD_0.5_unweighted",1,200,142.008250830433
2,"both",0.6,"GLaD_0.5_weighted",0.989820124508151,200,142.008250830433
2,"both",0.6,"GLaD_1_unweighted",1,200,142.008250830433
2,"both",0.6,"GLaD_1_weighted",0.99,200,142.008250830433
2,"both",0.6,"GUniFrac",1,200,142.008250830433
2,"both",0.6,"aitchison",1,200,142.008250830433
2,"both",0.6,"bray",0.954550311270377,200,142.008250830433
2,"both",0.6,"euclidean",0.409460373524452,200,142.008250830433
2,"both",0.6,"jaccard",0.944370435778528,200,142.008250830433
2,"both",0.6,"unifrac_unweighted",1,200,142.008250830433
2,"both",0.6,"unifrac_weighted_phyloseq",1,200,142.008250830433
2,"both",0.65,"GLaD_0.5_unweighted",1,200,142.008250830433
2,"both",0.65,"GLaD_0.5_weighted",0.989820124508151,200,142.008250830433
2,"both",0.65,"GLaD_1_unweighted",1,200,142.008250830433
2,"both",0.65,"GLaD_1_weighted",0.989820124508151,200,142.008250830433
2,"both",0.65,"GUniFrac",1,200,142.008250830433
2,"both",0.65,"aitchison",1,200,142.008250830433
2,"both",0.65,"bray",0.994910062254075,200,142.008250830433
2,"both",0.65,"euclidean",0.460359750983698,200,142.008250830433
2,"both",0.65,"jaccard",0.989820124508151,200,142.008250830433
2,"both",0.65,"unifrac_unweighted",1,200,142.008250830433
2,"both",0.65,"unifrac_weighted_phyloseq",1,200,142.008250830433
2,"both",0.7,"GLaD_0.5_unweighted",1,200,142.008250830433
2,"both",0.7,"GLaD_0.5_weighted",1,200,142.008250830433
2,"both",0.7,"GLaD_1_unweighted",1,200,142.008250830433
2,"both",0.7,"GLaD_1_weighted",1,200,142.008250830433
2,"both",0.7,"GUniFrac",1,200,142.008250830433
2,"both",0.7,"aitchison",1,200,142.008250830433
2,"both",0.7,"bray",0.989820124508151,200,142.008250830433
2,"both",0.7,"euclidean",0.534370435778527,200,142.008250830433
2,"both",0.7,"jaccard",0.989820124508151,200,142.008250830433
2,"both",0.7,"unifrac_unweighted",1,200,142.008250830433
2,"both",0.7,"unifrac_weighted_phyloseq",1,200,142.008250830433
2,"both",0.75,"GLaD_0.5_unweighted",1,200,142.008250830433
2,"both",0.75,"GLaD_0.5_weighted",0.994910062254075,200,142.008250830433
2,"both",0.75,"GLaD_1_unweighted",1,200,142.008250830433
2,"both",0.75,"GLaD_1_weighted",0.994910062254075,200,142.008250830433
2,"both",0.75,"GUniFrac",1,200,142.008250830433
2,"both",0.75,"aitchison",1,200,142.008250830433
2,"both",0.75,"bray",0.994910062254075,200,142.008250830433
2,"both",0.75,"euclidean",0.616708817172568,200,142.008250830433
2,"both",0.75,"jaccard",0.994910062254075,200,142.008250830433
